Scheme Name	Net Asset Value
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW	110.235
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW	117.5469
Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW	105.7438
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW	154.6201
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW	113.1295
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW	103.5278
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW	113.8817
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW	104.6834
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth	376.4441
Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth	565.0938
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth	391.2702
Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option	1532.8272
Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW	1039.0404
Axis Banking & PSU Debt Fund - Direct Plan - Growth Option	2795.5984
Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW	1033.5297
Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW	1038.5025
Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option	1289.4075
Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW	1038.9914
Axis Banking & PSU Debt Fund - Regular Plan - Growth option	2707.7965
Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW	1033.4495
Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW	1038.4762
Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW	11.0002
Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW	11.8410
Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth	11.7075
Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW	11.7075
Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth	11.8410
Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW	10.9288
Bandhan Banking and PSU Fund - Direct Annual IDCW	12.6542
Bandhan Banking and PSU Fund - Direct Daily IDCW	10.4754
Bandhan Banking and PSU Fund - Direct Fortnightly IDCW	10.4525
Bandhan Banking and PSU Fund - Direct Growth	25.9910
Bandhan Banking and PSU Fund - Direct IDCW	13.6719
Bandhan Banking and PSU Fund - Direct Monthly IDCW	10.4245
Bandhan Banking and PSU Fund - Direct Quarterly IDCW	11.0379
Bandhan Banking and PSU Fund - Regular Annual IDCW	11.6197
Bandhan Banking and PSU Fund - Regular Daily IDCW	10.8772
Bandhan Banking and PSU Fund - Regular Fortnightly IDCW	10.6081
Bandhan Banking and PSU Fund - Regular Growth	25.2222
Bandhan Banking and PSU Fund - Regular IDCW	13.6198
Bandhan Banking and PSU Fund - Regular Monthly IDCW	10.6679
Bandhan Banking and PSU Fund - Regular Quarterly IDCW	10.9320
Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option	12.4960
Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout	11.0090
Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option	12.3722
Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment)	10.9145
DSP Banking & PSU Debt Fund - Direct Plan - Growth	25.5305
DSP Banking & PSU Debt Fund - Direct Plan - IDCW	10.7667
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest	10.1813
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly	10.3875
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly	10.5181
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly	10.1773
DSP Banking & PSU Debt Fund - Regular Plan - Growth	24.6285
DSP Banking & PSU Debt Fund - Regular Plan - IDCW	10.7453
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest	10.1806
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly	10.3759
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly	10.5064
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly	10.1767
Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option	26.2036
Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option	18.7468
Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option	14.4915
Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option	10.9041
Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option	10.5494
Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option	25.2557
Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option	17.8619
Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option	14.0205
Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option	11.1501
Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option	10.1444
Franklin India Banking & PSU Debt Fund - Direct - Growth	24.1723
Franklin India Banking & PSU Debt Fund - Growth	23.1059
Franklin India Banking and PSU Debt Fund - Direct - IDCW	11.6262
Franklin India Banking and PSU Debt Fund - IDCW	10.9936
HDFC Banking and PSU Debt Fund - Growth Option	23.6341
HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan	24.6495
HDFC Banking and PSU Debt Fund - IDCW Option	10.1634
HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan	10.0336
HSBC Banking and PSU Debt Fund - Direct Daily IDCW	11.1881
HSBC Banking and PSU Debt Fund - Direct Growth	26.2937
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW	11.3245
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW	10.3445
